,dqn_sum,dqn_pid_0,dqn_pid_1
503000,1.736,1.0,0.736
504000,1.754,1.0,0.754
505000,1.74,1.0,0.74
506000,1.744,1.0,0.744
507000,0.0,1.0,-1.0
508000,1.758,1.0,0.758
509000,1.716,1.0,0.716
510000,1.734,1.0,0.734
511000,1.742,1.0,0.742
512000,1.744,1.0,0.744
513000,1.688,1.0,0.688
514000,1.704,1.0,0.704
515000,1.734,1.0,0.734
516000,1.726,1.0,0.726
517000,1.71,1.0,0.71
518000,1.73,1.0,0.73
519000,1.764,1.0,0.764
520000,1.756,1.0,0.756
521000,1.732,1.0,0.732
522000,1.718,1.0,0.718
523000,1.6720000000000002,1.0,0.672
524000,0.0,1.0,-1.0
525000,1.726,1.0,0.726
526000,1.71,1.0,0.71
527000,1.76,1.0,0.76
528000,1.724,1.0,0.724
529000,1.758,1.0,0.758
530000,1.75,1.0,0.75
531000,1.748,1.0,0.748
532000,1.738,1.0,0.738
533000,1.708,1.0,0.708
534000,1.768,1.0,0.768
535000,1.758,1.0,0.758
536000,1.748,1.0,0.748
537000,1.736,1.0,0.736
538000,1.732,1.0,0.732
539000,1.686,1.0,0.686
540000,1.67,1.0,0.67
541000,1.776,1.0,0.776
542000,1.752,1.0,0.752
543000,1.742,1.0,0.742
544000,1.728,1.0,0.728
545000,1.704,1.0,0.704
546000,1.756,1.0,0.756
547000,1.75,1.0,0.75
548000,1.724,1.0,0.724
549000,1.754,1.0,0.754
550000,1.74,1.0,0.74
551000,1.756,1.0,0.756
552000,1.774,1.0,0.774
553000,0.0,1.0,-1.0
554000,1.654,1.0,0.654
555000,1.716,1.0,0.716
556000,-0.038000000000000034,0.962,-1.0
557000,1.702,1.0,0.702
558000,1.726,1.0,0.726
559000,1.726,1.0,0.726
560000,1.77,1.0,0.77
561000,1.698,1.0,0.698
562000,1.76,1.0,0.76
563000,0.0,1.0,-1.0
564000,1.718,1.0,0.718
565000,1.74,1.0,0.74
566000,1.734,1.0,0.734
567000,1.746,1.0,0.746
568000,1.738,1.0,0.738
569000,1.712,1.0,0.712
570000,1.732,1.0,0.732
571000,1.702,1.0,0.702
572000,1.706,1.0,0.706
573000,0.0,1.0,-1.0
574000,1.696,1.0,0.696
575000,1.722,1.0,0.722
576000,-0.274,-1.0,0.726
577000,1.708,1.0,0.708
578000,1.6760000000000002,1.0,0.676
579000,1.736,1.0,0.736
580000,1.76,1.0,0.76
581000,1.742,1.0,0.742
582000,1.744,1.0,0.744
583000,1.746,1.0,0.746
584000,1.674,1.0,0.674
585000,1.744,1.0,0.744
586000,1.714,1.0,0.714
587000,1.67,1.0,0.67
588000,0.0,1.0,-1.0
589000,1.73,1.0,0.73
590000,1.756,1.0,0.756
591000,1.692,1.0,0.692
592000,1.772,1.0,0.772
593000,1.69,1.0,0.69
594000,1.774,1.0,0.774
595000,1.6840000000000002,1.0,0.684
596000,1.712,1.0,0.712
597000,1.728,1.0,0.728
598000,0.0,1.0,-1.0
599000,1.716,1.0,0.716
600000,0.0,1.0,-1.0
601000,1.686,1.0,0.686
602000,1.706,1.0,0.706
603000,1.726,1.0,0.726
604000,1.704,1.0,0.704
605000,1.694,1.0,0.694
606000,1.726,1.0,0.726
607000,1.714,1.0,0.714
608000,1.69,1.0,0.69
609000,1.714,1.0,0.714
610000,1.75,1.0,0.75
611000,1.718,1.0,0.718
612000,1.71,1.0,0.71
613000,1.706,1.0,0.706
614000,1.658,1.0,0.658
615000,1.718,1.0,0.718
616000,1.744,1.0,0.744
617000,1.712,1.0,0.712
618000,1.6720000000000002,1.0,0.672
619000,1.746,1.0,0.746
620000,1.75,1.0,0.75
621000,1.73,1.0,0.73
