,dqn_sum,dqn_pid_0,dqn_pid_1
496000,1.343,0.892,0.451
497000,1.377,0.9,0.477
498000,1.4260000000000002,0.923,0.503
499000,1.405,0.938,0.467
500000,1.495,0.959,0.536
501000,1.393,0.942,0.451
502000,-0.517,-1.0,0.483
503000,-0.06799999999999995,0.932,-1.0
504000,1.409,0.929,0.48
505000,1.381,0.924,0.457
506000,1.412,0.923,0.489
507000,1.393,0.931,0.462
508000,1.383,0.905,0.478
509000,1.435,0.92,0.515
510000,1.403,0.932,0.471
511000,1.38,0.906,0.474
512000,1.403,0.934,0.469
513000,1.4489999999999998,0.949,0.5
514000,1.377,0.938,0.439
515000,1.4,0.94,0.46
516000,1.401,0.929,0.472
517000,1.4889999999999999,1.0,0.489
518000,1.3940000000000001,0.921,0.473
519000,1.389,0.921,0.468
520000,1.371,0.918,0.453
521000,1.332,0.905,0.427
522000,1.4260000000000002,0.916,0.51
523000,1.354,0.901,0.453
524000,1.3860000000000001,0.909,0.477
525000,1.3900000000000001,0.937,0.453
526000,0.0,1.0,-1.0
527000,1.376,0.9,0.476
528000,1.4220000000000002,0.913,0.509
529000,1.521,1.0,0.521
530000,1.37,0.932,0.438
531000,1.3760000000000001,0.92,0.456
532000,1.403,0.942,0.461
533000,1.323,0.912,0.411
534000,1.36,0.906,0.454
535000,1.413,0.934,0.479
536000,1.4,0.923,0.477
537000,1.346,0.886,0.46
538000,1.4180000000000001,0.909,0.509
539000,1.491,1.0,0.491
540000,1.4100000000000001,0.93,0.48
541000,-0.08299999999999996,0.917,-1.0
542000,1.431,1.0,0.431
543000,1.448,0.935,0.513
544000,1.317,0.89,0.427
545000,1.3900000000000001,0.92,0.47
546000,1.35,0.895,0.455
547000,1.397,0.931,0.466
548000,-0.571,-1.0,0.429
549000,1.48,1.0,0.48
550000,0.43,0.0,0.43
551000,1.36,0.928,0.432
552000,1.407,0.946,0.461
553000,-0.05900000000000005,0.941,-1.0
554000,1.35,0.918,0.432
555000,1.349,0.896,0.453
556000,1.4100000000000001,0.931,0.479
557000,1.36,0.921,0.439
558000,1.4129999999999998,0.939,0.474
559000,-0.07199999999999995,0.928,-1.0
560000,1.435,0.948,0.487
561000,1.4020000000000001,0.936,0.466
562000,1.362,0.927,0.435
563000,-0.07999999999999996,0.92,-1.0
564000,1.318,0.903,0.415
565000,1.3679999999999999,0.938,0.43
566000,1.333,0.938,0.395
567000,1.382,0.939,0.443
568000,1.408,0.891,0.517
569000,1.3920000000000001,0.931,0.461
570000,1.315,0.914,0.401
571000,1.3880000000000001,0.927,0.461
572000,1.391,0.909,0.482
573000,-0.06499999999999995,0.935,-1.0
574000,1.369,0.926,0.443
575000,1.364,0.901,0.463
576000,1.353,0.936,0.417
577000,1.3820000000000001,0.902,0.48
578000,1.355,0.93,0.425
579000,1.377,0.925,0.452
580000,1.3940000000000001,0.92,0.474
581000,1.413,0.921,0.492
582000,1.365,0.943,0.422
583000,1.387,0.931,0.456
584000,1.3900000000000001,0.929,0.461
585000,1.425,0.931,0.494
586000,1.363,0.943,0.42
587000,1.3800000000000001,0.937,0.443
588000,1.377,0.927,0.45
589000,-0.07699999999999996,0.923,-1.0
590000,1.3760000000000001,0.925,0.451
591000,1.3940000000000001,0.929,0.465
592000,1.445,0.92,0.525
593000,1.303,0.897,0.406
594000,1.403,0.937,0.466
595000,1.3599999999999999,0.941,0.419
596000,-0.061000000000000054,0.939,-1.0
597000,-0.09099999999999997,0.909,-1.0
598000,0.442,0.0,0.442
599000,1.397,0.935,0.462
600000,1.369,0.914,0.455
601000,1.407,0.938,0.469
602000,1.334,0.918,0.416
603000,1.3820000000000001,0.929,0.453
604000,-0.5469999999999999,-1.0,0.453
605000,1.365,0.905,0.46
606000,-0.06999999999999995,0.93,-1.0
607000,1.397,0.93,0.467
608000,0.439,0.0,0.439
609000,-0.08799999999999997,0.912,-1.0
610000,1.439,1.0,0.439
611000,1.372,0.919,0.453
612000,1.366,0.936,0.43
613000,1.3860000000000001,0.935,0.451
614000,1.385,0.921,0.464
615000,1.367,0.938,0.429
616000,1.444,0.938,0.506
617000,1.359,0.935,0.424
618000,1.401,0.915,0.486
