,ppo_lr_0.00025_alpha_0.05,ppo_lr_0.0001_alpha_0.0625,ppo_lr_0.0001_alpha_0.03125,ppo_lr_0.0001_alpha_0.125,nfsp,ppo_lr_0.0001_alpha_0.05,ppo_lr_0.00025_alpha_0.0625,ppo_lr_0.00025_alpha_0.125,ppo_lr_0.0001_alpha_0.015625,ppo_lr_0.00025_alpha_0.015625,ppo_lr_0.00025_alpha_0.03125
6900000,0.04899999999999999,0.538,0.518,0.431,0.977,0.43500000000000005,0.37500000000000006,0.311,0.423,0.45099999999999996,0.476
7000000,-0.024999999999999967,0.598,0.546,0.6619999999999999,0.985,0.41100000000000003,0.119,0.42100000000000004,0.5149999999999999,0.43399999999999994,0.49699999999999994
7100000,0.18100000000000005,0.31899999999999995,0.501,0.6020000000000001,0.974,0.42200000000000004,0.31500000000000006,0.41400000000000003,0.44400000000000006,0.486,0.21099999999999997
7200000,-0.324,0.354,0.445,0.6920000000000001,0.954,0.468,0.10099999999999998,0.46199999999999997,0.52,0.442,0.23899999999999993
7300000,0.364,-0.326,0.461,0.479,0.992,0.337,0.294,0.502,0.39099999999999996,0.457,0.17100000000000004
7400000,-0.018000000000000016,0.12,0.427,0.48900000000000005,1.12,0.504,0.16399999999999998,0.24500000000000005,0.47400000000000003,0.518,0.407
7500000,0.16499999999999998,0.131,0.451,0.385,0.947,0.458,0.22599999999999998,0.379,0.47200000000000003,0.404,0.328
7600000,0.402,0.19999999999999996,0.41500000000000004,0.576,0.989,0.49699999999999994,-0.12,0.26,0.48600000000000004,0.44599999999999995,0.66
7700000,0.341,0.15200000000000002,0.48200000000000004,0.24100000000000005,0.958,0.46599999999999997,-0.10699999999999998,0.3350000000000001,0.556,0.449,0.633
7800000,0.31700000000000006,0.25300000000000006,0.367,0.42100000000000004,1.006,0.527,0.247,0.353,0.49599999999999994,0.512,0.369
7900000,0.238,0.47800000000000004,0.39,0.27999999999999997,1.04,0.471,-0.10999999999999999,0.426,0.466,0.523,0.37799999999999995
8000000,0.11199999999999999,0.39200000000000007,0.21800000000000003,0.36299999999999993,1.006,0.539,0.243,0.01699999999999996,0.36600000000000005,0.48600000000000004,0.36200000000000004
8100000,0.10599999999999998,0.283,0.37300000000000005,0.195,0.958,0.33799999999999997,0.45000000000000007,-0.019000000000000017,0.31200000000000006,0.48299999999999993,0.545
8200000,0.21499999999999997,0.30799999999999994,0.26500000000000007,0.448,0.976,0.512,0.43699999999999994,-0.029000000000000026,0.298,0.504,0.47000000000000003
